Type,DesignType,Labels,Latdd,Londd,Lat_Deg,Lat_Min,Lon_Deg,Lon_Min,Operation
BASIS,CoreTrawl,Core Trawl,58.5,-170,58,30,-170,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,58.5,-168,58,30,-168,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,59,-169,59,0,-169,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,59,-171,59,0,-171,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,59.5,-172,59,30,-172,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,59.5,-170,59,30,-170,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,60,-171,60,0,-171,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,60,-173,60,0,-173,0,CTD/BON/TRAWL
BASIS,Ocean,Oceanography,60,-174,60,0,-174,0,CTD/BON
BASIS,Ocean,Oceanography,60,-172,60,0,-172,0,CTD/BON
BASIS,Ocean,Oceanography,60,-170,60,0,-170,0,CTD/BON
BASIS,OptTrawl,Optional Trawl,60,-175,60,0,-175,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,60.5,-174,60,30,-174,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,60.5,-172,60,30,-172,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,60.5,-170,60,30,-170,0,CTD/BON/TRAWL
BASIS,Ocean,Oceanography,60.5,-171,60,30,-171,0,CTD/BON
BASIS,OptTrawl,Optional Trawl,61,-171,61,0,-171,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,61,-173,61,0,-173,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,61,-175,61,0,-175,0,CTD/BON/TRAWL
BASIS,Ocean,Oceanography,61,-174,61,0,-174,0,CTD/BON
BASIS,Ocean,Oceanography,61,-172,61,0,-172,0,CTD/BON
BASIS,CoreTrawl,Core Trawl,61.5,-176,61,30,-176,0,CTD/BON/TRAWL
BASIS,Ocean,Oceanography,55.5,-165,55,30,-165,0,CTD/BON
BASIS,Ocean,Oceanography,56,-166,56,0,-166,0,CTD/BON
BASIS,Ocean,Oceanography,56,-164,56,0,-164,0,CTD/BON
BASIS,Ocean,Oceanography,56.5,-169,56,30,-169,0,CTD/BON
BASIS,Ocean,Oceanography,56.5,-167,56,30,-167,0,CTD/BON
BASIS,Ocean,Oceanography,56.5,-165,56,30,-165,0,CTD/BON
BASIS,Ocean,Oceanography,56.5,-163,56,30,-163,0,CTD/BON
BASIS,Ocean,Oceanography,57,-170,57,0,-170,0,CTD/BON
BASIS,Ocean,Oceanography,57,-168,57,0,-168,0,CTD/BON
BASIS,Ocean,Oceanography,57,-166,57,0,-166,0,CTD/BON
BASIS,Ocean,Oceanography,57,-164,57,0,-164,0,CTD/BON
BASIS,Ocean,Oceanography,57,-162,57,0,-162,0,CTD/BON
BASIS,Ocean,Oceanography,57.5,-171,57,30,-171,0,CTD/BON
BASIS,Ocean,Oceanography,57.5,-169,57,30,-169,0,CTD/BON
BASIS,Ocean,Oceanography,57.5,-167,57,30,-167,0,CTD/BON
BASIS,Ocean,Oceanography,57.5,-165,57,30,-165,0,CTD/BON
BASIS,Ocean,Oceanography,57.5,-163,57,30,-163,0,CTD/BON
BASIS,Ocean,Oceanography,58,-172,58,0,-172,0,CTD/BON
BASIS,Ocean,Oceanography,58,-170,58,0,-170,0,CTD/BON
BASIS,Ocean,Oceanography,58,-168,58,0,-168,0,CTD/BON
BASIS,Ocean,Oceanography,58,-166,58,0,-166,0,CTD/BON
BASIS,Ocean,Oceanography,58,-164,58,0,-164,0,CTD/BON
BASIS,Ocean,Oceanography,58.5,-173,58,30,-173,0,CTD/BON
BASIS,Ocean,Oceanography,58.5,-171,58,30,-171,0,CTD/BON
BASIS,Ocean,Oceanography,58.5,-169,58,30,-169,0,CTD/BON
BASIS,Ocean,Oceanography,58.5,-167,58,30,-167,0,CTD/BON
BASIS,Ocean,Oceanography,59,-172,59,0,-172,0,CTD/BON
BASIS,Ocean,Oceanography,59,-170,59,0,-170,0,CTD/BON
BASIS,Ocean,Oceanography,59,-168,59,0,-168,0,CTD/BON
BASIS,Ocean,Oceanography,59.5,-173,59,30,-173,0,CTD/BON
BASIS,Ocean,Oceanography,59.5,-171,59,30,-171,0,CTD/BON
BASIS,Ocean,Oceanography,59.5,-169,59,30,-169,0,CTD/BON
BASIS,CoreTrawl,Core Trawl,61.5,-174,61,30,-174,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,61.5,-172,61,30,-172,0,CTD/BON/TRAWL
BASIS,Ocean,Oceanography,61.5,-175,61,30,-175,0,CTD/BON
BASIS,Ocean,Oceanography,61.5,-173,61,30,-173,0,CTD/BON
BASIS,Ocean,Oceanography,61.5,-171,61,30,-171,0,CTD/BON
BASIS,OptTrawl,Optional Trawl,62,-171,62,0,-171,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,62,-173,62,0,-173,0,CTD/BON/TRAWL
BASIS,CoreTrawl,Core Trawl,62,-175,62,0,-175,0,CTD/BON/TRAWL
BASIS,Ocean,Oceanography,62,-174,62,0,-174,0,CTD/BON
BASIS,Ocean,Oceanography,62,-172,62,0,-172,0,CTD/BON
BASIS,OptTrawl,Optional Trawl,62.5,-174,62,30,-174,0,CTD/BON/TRAWL
BASIS,Ocean,Oceanography,62.5,-173,62,30,-173,0,CTD/BON
BASIS,OptTrawl,Optional Trawl,55.5,-166,55,30,-166,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,56,-167,56,0,-167,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,56.5,-168,56,30,-168,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,57,-171,57,0,-171,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,57.5,-172,57,30,-172,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,57.5,-162,57,30,-162,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,58,-173,58,0,-173,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,58,-163,58,0,-163,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,58.5,-174,58,30,-174,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,58.5,-166,58,30,-166,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,59,-173,59,0,-173,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,59,-167,59,0,-167,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,59.5,-174,59,30,-174,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,59.5,-168,59,30,-168,0,CTD/BON/TRAWL
BASIS,OptTrawl,Optional Trawl,63,-173,63,0,-173,0,CTD/BON/TRAWL
